Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SauceDemoWeb,Chrome 153.0.8010.52,,,18-09-2026 15:29:47,18-09-2026 15:33:04,3m - 16.830s,PASSED
,,,,,,,
Test Cases/Smoke/TC_Smoke,Chrome 153.0.8010.52,,,18-09-2026 15:29:47,18-09-2026 15:30:14,27.603s,PASSED
"runFeatureFile(""Include/features/authentication/Login.feature"")",Chrome 153.0.8010.52,,,18-09-2026 15:29:47,18-09-2026 15:30:14,27.517s,PASSED
,,,,,,,
Test Cases/EndToEnd/TC_E2E,Chrome 153.0.8010.52,,,18-09-2026 15:30:14,18-09-2026 15:30:28,13.547s,PASSED
"runFeatureFile(""Include/features/checkoutComplete/CheckoutComplete.feature"")",Chrome 153.0.8010.52,,,18-09-2026 15:30:14,18-09-2026 15:30:28,13.538s,PASSED
,,,,,,,
Test Cases/Regression/TC_Regression,Chrome 153.0.8010.52,,,18-09-2026 15:30:28,18-09-2026 15:33:04,2m - 35.619s,PASSED
"runFeatureFile(""Include/features/inventory/Inventory.feature"")",Chrome 153.0.8010.52,,,18-09-2026 15:30:28,18-09-2026 15:31:16,47.747s,PASSED
"runFeatureFile(""Include/features/cart/Cart.feature"")",Chrome 153.0.8010.52,,,18-09-2026 15:31:16,18-09-2026 15:31:57,41.035s,PASSED
"runFeatureFile(""Include/features/checkoutInformation/CheckoutInformation.feature"")",Chrome 153.0.8010.52,,,18-09-2026 15:31:57,18-09-2026 15:32:40,42.784s,PASSED
"runFeatureFile(""Include/features/checkoutOverview/CheckoutOverview.feature"")",Chrome 153.0.8010.52,,,18-09-2026 15:32:40,18-09-2026 15:33:04,24.041s,PASSED
